School_Name,Circuit
Dzogadze JHS,Agbedrafor
Gornikope JHS,Agbedrafor
Hatsiukope JHS,Agbedrafor
Akatsi Main JHS,Akatsi A
Akatsicoe Practice JHS,Akatsi A
Kpota JHS,Akatsi A
Agbedrafor JHS,Akatsi B
Awasive JHS,Akatsi B
Xavi JHS,Akatsi B
Adidome JHS,Atidzive
Anloga JHS,Atidzive
Atidzive JHS,Atidzive
Dabala JHS,Atidzive
Sogakope JHS,Atidzive
Avenorpedo JHS,Avenorpedo
Kpeve JHS,Avenorpedo
Weta JHS,Avenorpedo
Woe JHS,Avenorpedo
Abor Main JHS,Avenorpeme
Avenorpeme JHS,Avenorpeme
Keta Zion JHS,Avenorpeme
Tadzewu JHS,Avenorpeme
Anyidzive JHS,Gefia
Gefia JHS,Gefia
Keta EP JHS,Gefia
Lume Ahugakope JHS,Gefia
Tegbi JHS,Gefia
Wute JHS,Gefia
Aflao Main JHS,Wlitey
Denu JHS,Wlitey
Dzodze Penyi JHS,Wlitey
Wlitey JHS,Wlitey
